Candidate,Campaign Committee,Jurisdiction,Office,District,Election Year,Party,COOSA,Total Contributions,Total Expenditures
"Ballard, David Scott",Friends of David Ballard for State House,State,State Representative,74,2022,Republican,Yes,42466.53,4284.49,
"Ballard, Scott ",,State,Superior Court Judge,Griffin Judicial Circuit: Ballard,2024,Non-Partisan,No,,,
"Ballew, Carol",Elect Carol Ballew,Baldwin County,County Commissioner,4,2024,Republican,Yes,,,
"Ballinger, Mandi",,State,State Representative,23,2022,Republican,No,,,
"Ballinger, Mandi",Friends of Mandi Ballinger,State,State Representative,23,2022,Republican,No,53356.24,14803.6,
"Ballinger, Meia Latrese",,Clayton County,County Commissioner,4,2022,Democrat,No,,,
"Banes, Marcello Charvell",Committee to re-elect Marcello Banes,Newton County,County Commission Chair,,2024,Democrat,No,,,
"Barbee, Margo ",,State,State Representative,161,2022,Democrat,No,18110,18110,
"Barden, Brett Matthew",,Habersham,Board of Education,1,2024,Republican,No,,,
"Barge, John D.",Friends of John Barge for Superintendent,,State School Superintendent,,2022,Republican,Yes,20586.5,25275.7,
"Barker, James Edward","Committee to Re-Elect Eddie Barker, State Court Judge",Douglas County,State Court Judge,at-Large,2024,Non-Partisan,No,,,
"Barksdale, Tuttle Wright",,State,District Attorney,Ocmulgee Judicial Circuit,2024,Republican,Yes,4758.62,3884.19,
"Barlow, Joyce G.",Committee to Elect Joyce Barlow,State,State Representative,151,2022,Democrat,No,170783.86,170783.86,
"Barnard, Matthew James",,Wilcox,Board of Education,3,2022,Republican,No,,,
"Barnard, Steve",,Ware County,County Commissioner,4,2024,Other,No,,,
"Barnes, Anne Elizabeth","Committee to Re-Elect Judge Barnes, Inc.",,Court of Appeals Judge,,2022,Non-Partisan,Yes,174672.9,88860.38,
"Barnes, Bradley",Brad for a Better Georgia,State,State Representative,13,2022,Republican,No,3001.72,2995.77,
"Barnes, Imani ",,State,State Representative,86,2024,Democrat,No,34335.99,23280.43,
"Barnes, Scott ",Barnes for Ball Ground,Ball Ground,City Councilperson,1,2022,Non-Partisan,No,,,
"Barnett, Wanda L",Wanda Barnett for Superior Court Judge,State,Superior Court Judge,Piedmont Judicial Circuit: Mingledorff,2024,Non-Partisan,No,422509.97,419402.05,
"Barnhill, George Elemuel",,State,District Attorney,Waycross,2022,Republican,No,,,
"Barr, Timothy",Friends of Timothy Barr,State,State Representative,103,2022,Republican,Yes,14169.5,14169.5,
"Barrett Martin, Jessica Carol",,Habersham County,Solicitor General,,2024,Republican,No,,,
"Barrett, Dana",,Fulton County,County Commissioner,3,2022,Other,No,,,
"Barrett, Eric D",,Towns County,Clerk of Superior Court,,2024,Republican,No,,,
"Barrett, John Carter",Carter Barrett for State House,State,State Representative,24,2024,Republican,Yes,474553.77,383913.85,
"Barrie, Tangela ",Friends to Re-Elect Judge Tangela Barrie,State,Superior Court Judge,Stone Mountain Judicial Circuit: Barrie,2024,Democrat,No,4073.71,4073.71,
"Barrington-Ward, Devin",Committee to Elect Devin Barrington-Ward,Atlanta,City Councilperson,Post 3 at-Large,2024,Non-Partisan,No,,,
"Barrow, John Jenkins",Friends of John Barrow,,Justice of the Supreme Court,,2024,Non-Partisan,Yes,579715.82,30679.44,
"Barrow, John Jenkins",Friends of John Barrow (2024 Election),,Justice of the Supreme Court,,2024,Non-Partisan,Yes,925259.02,531126.19,
"Bartell, Elbert Arthur",Bartell for Governor Committee,,Governor,,2022,Other,No,395,5645,
Barton Madison  "Matt" Fain,,State,State Representative,5,2024,Republican,Yes,52719.71,22990.07,
"Batchelor, Ronnie K.",Committee to Re-Elect Judge Ronnie K Batchelor (Friends of Ronnie K. Batchelor),State,Superior Court Judge,Gwinnett,2024,Unspecified,Yes,1897.07,867,
"Bates, Clinton",Bates For The People,Burke County,County Commissioner,4,2022,Democrat,Yes,,,
"Baughier, Stephen Boyd",Friends of Stephen Baughier,State,State Representative,147,2022,Democrat,No,33015.78,33015.78,
"Beach, Brandon ",Beach for Senate Inc,State,State Senator,21,2024,Republican,Yes,541204.43,184131.53,
"Beard, Hope S.",Hope for House Representative (District 123),State,State Representative,123,2024,Democrat,Yes,842.55,1436.59,
"Bearden, Clint Garry","Vote Judge Clint Bearden, Inc.",State,Superior Court Judge,Northeastern,2024,Unspecified,Yes,37584.28,28172.01,
"Bearden, Timothy J",Tim Bearden for Georgia,State,State Senator,30,2024,Republican,Yes,151642,135023.5,
"Beatty, Terry Craig",,Stephens County,County Commissioner,1,2022,Republican,No,,,
"Beavers, Mollie Nicole",,,Commissioner of Agriculture,,2022,Non-Partisan,Yes,,,
"Beavers, Tonny S.",,State,Superior Court Judge,Paulding Judicial Circuit: Beavers,2024,Non-Partisan,Yes,,,
"Beck, Samuel Willis",Committee for Mr. Beck,Fulton,Board of Education,3,2024,Non-Partisan,No,,,
"Becker, Jan M",,Cobb County,Tax Commissioner,,2024,Democrat,No,,,
"Beckles, Arlene Patricia",Committee to Elect Arlene Beckles,State,State Representative,96,2024,Democrat,Yes,7653.81,4518.57,
"Beeson, Sarah ",Beeson for Georgia,Roswell,City Councilperson,1,2022,Non-Partisan,No,,,
"Bell, Andrew Walter",Elect Andrew Bell Campaign INC,DeKalb County,County Commissioner,3,2022,Democrat,No,,,
"Bell, Danielle",Friends of Danielle Bell INC,State,State Representative,44,2024,Democrat,No,11702.63,1907.8,
"Bell, Eric Wyatt, II",Friends To Elect Eric Bell,State,State Representative,75,2024,Democrat,No,12491.95,10755.62,
"Bell, Justin Jamall",Committee to Elect Justin J. Bell,State,State Representative,66,2022,Democrat,No,,,
"Bell, Renae Harden",Committee to Elect Renae Bell,State,State Senator,30,2024,Republican,No,31522.15,31522.15,
"Bell, Sharonda ",The Committee to Elect HD 118,State,State Representative,118,2024,Democrat,Yes,1460,1460,
"Belle Isle, David Christian",Georgians for Belle Isle,,Secretary of State,,2022,Republican,No,102672.89,228744.4,
"Belton, David Calvin, Sr.",,State,State Representative,114,2022,Republican,No,42356,25270,
"Bennett, Brent ",Committee to Elect Brent Bennett,Newton County,Tax Commissioner,,2024,Democrat,Yes,,,
"Bennett, David",,Bulloch County,County Commission Chair,,2024,Republican,No,,,
"Bennett, Elizabeth",,Douglas County,County Commissioner,1,2024,Republican,No,,,
"Bennett, Karen L",Committee to Elect Karen Bennett,State,State Representative,94,2024,Democrat,No,95339.18,28482.54,
"Bennett, Lovett , Jr.","Committee to Elect Lovett Bennett, Jr., Judge",State,Superior Court Judge,Ogeechee Judicial Circuit: Bennett,2024,Non-Partisan,No,25623.8,25081.49,
"Bennett, Marilyn ",,State,District Attorney,Waycross,2022,Republican,No,53332.25,45275.52,
"Bennett, Matthew Benjamin",Matt Bennett for District Attorney,State,District Attorney,Alapaha,2022,Republican,No,48662.4,48662.4,
"Bennett, Sylvia Lisa",Committee to elect Sylvia Bennett,State,State Senator,32,2022,Democrat,No,2595.01,1887.31,
"Benson, Herbert Winfred","Committee to Re-Elect Herbert W. Benson, Tift County State Court Judge",Tift County,State Court Judge,0,2022,Non-Partisan,No,,,
"Bentley, Mitch",,Irwinton,City Councilperson,9,2022,Non-Partisan,No,,,
"Bentley, Patty",,State,State Representative,139,2022,Democrat,No,24850,17938.54,
"Benton, Chris",Elect Chris Benton,State,State Representative,131,2022,Democrat,No,17.19,17.19,
"Benton, Christopher Shane",Elect Chris Benton,State,State Senator,18,2022,Democrat,No,7722.65,7722.65,
"Benton, Thomas H.",Campaign to Elect Tommy Benton,State,State Representative,31,2022,Republican,Yes,48207.15,41811.26,
"Bernard, Catherine ",Friends of Catherine Bernard,State,State Representative,83,2022,Republican,No,53340.73,52355.73,
"Berry, Anthony Sean",,Pulaski,Board of Education,0,2022,Other,No,,,
"Berry, Bryce Vernon",Friends of Bryce Berry LLC,State,State Representative,56,2024,Democrat,No,56150.69,17200.96,
"Bessen, Diane ",Friends of Judge Diane Bessen,Fulton County,State Court Judge,0,2024,Other,No,,,
"Bettis, Pamela M",,Henry County,Solicitor General,,2024,Non-Partisan,No,,,
"Beverly, James ",Committee to Elect James Beverly,State,State Representative,143,2022,Democrat,No,454011.06,174167.45,
"bevers, judy",,Barrow County,County Commissioner,4,2022,Democrat,No,,,
"Beyers, Karen E.",,State,Superior Court Judge,Gwinnett Judicial Circuit: Beyers,2024,Non-Partisan,Yes,2996.98,,
"BHATT, KARTIK",,,Commissioner of Labor,,2022,Republican,No,52757.51,52757.51,
"Biegalski, Kendra M. Foltz",,State,State Representative,101,2024,Republican,No,1825,,
"Biggs, Mildred ",,Talbot,Board of Education,5,2022,Non-Partisan,No,,,
"Bingham, Chad",Bingham4Chair,Jackson County,County Commission Chair,,2024,Republican,No,,,
"Bingham, Chad ",Bingham4JCC,Jackson County,County Commissioner,3,2022,Republican,No,,,
"Binion, Brent","Brent Binion for Georgia, Corp.",State,State Senator,27,2022,Democrat,No,2007.84,2007.84,
"Biro, Robin",,State,State Senator,55,2024,Democrat,No,30630,26303.48,
"Black, David Leslie",Elect David Black for Chief Magistrate,Worth County,Chief Magistrate Judge,,2024,Republican,No,,,
"Black, Dennis Lowell",,Stephens County,County Commissioner,1,2022,Republican,No,,,
"Blackburn, Joey Edward",,Thomas County,Sheriff,,2024,Republican,No,,,
"Blackmon, Dennis T.",Friends of Dennis T. Blackmon,State,Superior Court Judge,Coweta Judicial Circuit: Blackmon,2024,Non-Partisan,No,4701.97,4119.71,
"Blackmon, Jason",,Haralson County,Chief Magistrate Judge,,2024,Republican,No,,,
"Blackmon, Zell Shaw, III",Friends of Shaw Blackmon,State,State Representative,146,2024,Republican,Yes,888621.57,309591.17,
"Blair, Everton Lloyd, II",Everton Blair for Georgia,,State School Superintendent,,2022,Democrat,Yes,156540.16,126686.37,
"Blake, Amili",,State,State Senator,16,2024,Democrat,No,,,
"Blalock, Ricky L",FRIENDS OF RICK,Fulton County,County Commissioner,1,2022,Democrat,No,,,
"Blanchard, Antonia L",Campaign to Elect Toni Blanchard,Rome City,Board of Education,0,2022,Non-Partisan,No,,,
"Blanchard, James G., Jr.",,State,Superior Court Judge,Augusta Judicial Circuit: Blanchard,2022,Non-Partisan,No,,,
"Blanchard, William Maurice, Jr.",Blanchard for Georgia,State,State Representative,175,2022,Republican,Yes,24391.2,23891.2,
"Blooming, Thomas M",,State,Public Service Commissioner,5,2024,Other,No,,,
"Boblasky, Joel Scott",Committee To Elect Joel Boblasky,Chatham County,County Commission Chair,,2024,Republican,No,,,
"Boddie, President R19",BODDIE FOR GA. GOVERNOR,,Governor,,2022,Other,No,,,
"Boddie, William K., Jr.","Boddie for Georgia, LLC.",,Commissioner of Labor,,2022,Democrat,Yes,591318.45,697349.48,
"Boggs, Michael P","Citizens to Elect Justice Boggs, Inc.",,Justice of the Supreme Court,,2024,Non-Partisan,Yes,385887.29,173899.77,
"Boles, Laureen Monica",,Chatham County,County Commissioner,8,2024,Democrat,No,,,
"Bolton, LaDena A",Friends of Bolton For DeKalb Inc,DeKalb County,County Commissioner,7,2024,Democrat,Yes,,,
"Bonner, Josh ","Bonner for Georgia, Inc",State,State Representative,73,2022,Republican,Yes,90896.35,64075.06,
"Bonton, Phillip , III",Committee to Elect Phillip Bonton,Gwinnett County,Tax Commissioner,,2024,Democrat,Yes,,,
"Bordeaux, Thomas",,Chatham County,Probate Court Judge,,2024,Other,No,,,
"Boston, Sherry ","Sherry Boston for DA, Inc.",State,District Attorney,Stone Mountain,2024,Democrat,No,184927.06,86723.99,
"Boswell, Cameron Derek",,Banks County,Probate Court Judge,,2024,Non-Partisan,No,,,
"Bowers, Weslyn",,State,State Representative,163,2022,Democrat,No,,,
"Bowers, Weslyn Lutrice",,State,State Representative,163,2022,Democrat,No,9842.43,8388.3,
"Bowlden, Gregory Ryan",,Spalding County,County Commissioner,4,2024,Republican,No,,,
"Bowlden, Gregory Ryan",,Spalding County,County Commissioner,4,2024,Republican,No,,,
"Boyd, Andrea",Committee to Elect Andrea Boyd,Henry County,Chief Magistrate Judge,,2022,Non-Partisan,No,,,
"Boyd, Will",,Screven County,County Commission Chair,,2022,Republican,No,,,
"Boyd-Cox, Billie",Committee to Elect Billie Boyd-Cox,State,State Representative,113,2022,Democrat,No,16988.01,15921.44,
"Boyer, Barbara",Barbara for Georgia,State,State Representative,143,2024,Republican,Yes,1000,400,
"Boyett, William T.",Boyett Campaign Fund,State,Superior Court Judge,Conasauga,2022,Non-Partisan,Yes,,,
"Braddy, Matthew Gill",Committee to Elect Gill Braddy,State,Superior Court Judge,Cordele Judicial Circuit: Chasteen,2024,Non-Partisan,No,70900,31315.03,
"Bradley, Stephen Andrew",Friends of Stephen Bradley,State,Superior Court Judge,Ocmulgee Judicial Circuit: Bradley,2024,Non-Partisan,No,49378.89,4073.71,
"Brady, Alexander Kyle",,Catoosa County,County Commissioner,3,2024,Democrat,No,,,
"Brannen, Danny",,Pulaski County,Sheriff,,2024,Other,No,,,
"Brantley, Amber Antoinette",,State,District Attorney,Augusta,2024,Democrat,No,68547.2,63092.77,
"Branum, Tori",,State,State Senator,20,2024,Republican,No,7610.09,5856.92,
"BRASHER, CHRISTOPHER S",COMMITTEE TO KEEP JUDGE CHRIS BRASHER,State,Superior Court Judge,Atlanta Judicial Circuit: McAfee,2022,Non-Partisan,Yes,53542.17,38500,
"Brass, Matthew Freeman",Matt Brass for State Senate,State,State Senator,28,2024,Republican,Yes,474367.37,289444.18,
"Braswell, June B",,Bulloch County,Chief Magistrate Judge,,2024,Non-Partisan,No,,,
"Bray, Melody-Angelique Petrina",Bray for Georgia,State,State Senator,38,2022,Democrat,Yes,41493.5,109322.71,
"Breakfield, John Gage","Elect Breakfield, LLC",State,Superior Court Judge,Northeastern Judicial Circuit: Gosselin,2024,Non-Partisan,Yes,122001.66,61687,
"Brewer, John F, III",,Walton County,Surveyor,,2024,Other,No,,,
"Brewington, Katie A",,Chatham County,Magistrate Court Judge,,2024,Non-Partisan,No,,,
"Brewton, Eric Alan",Committee To Keep Judge Brewton,Cobb County,State Court Judge,at-Large,2022,Non-Partisan,No,,,
"Bringman, David General",,Savannah-Chatham,Board of Education,6,2022,Non-Partisan,No,,,
"Brinson, Veronica",,,Justice of the Supreme Court,,2022,Non-Partisan,Yes,20469.59,9976.52,
"Bristol, Lisamarie Nellyn","Committee to Elect L. Bristol, Inc",Gwinnett County,Solicitor General,,2022,Democrat,No,,,
"Britton, Maxwell ",,Coweta,Board of Education,1,2022,Non-Partisan,Yes,,,
"Broadbent, Steven Warren",Steve Broadbent for Greene County,Greene County,County Commissioner,4,2024,Republican,No,,,
"Broady, Flynn D., Jr.",Committee to Elect Flynn Broady,State,District Attorney,Cobb,2024,Democrat,Yes,119827.76,21008.14,
"Brockington, Mickeayla Deshae",Mickey For Georgia,State,State Representative,169,2022,Democrat,No,3438.84,2885.73,
"Broder, Marie Greene",Marie Greene Broder for District Attorney,State,District Attorney,Griffin,2024,Republican,No,56666.94,35463.36,
"Bronson, Paul ",,Macon-Bibb (Cons. Gov.),County Commissioner,2,2024,Other,No,,,
"Bronson, Paul W",,Macon-Bibb (Cons. Gov.),County Commissioner,2,2024,Democrat,No,,,
"Brookins, Nicholas Lamar",Better GA Today,Wilkinson,Board of Education,1,2022,Democrat,No,,,
"Brooks, Bernice",,Carroll,Board of Education,1,2024,Non-Partisan,No,,,
"Brooks, Bobby Keith",,Walton County,Sheriff,,2024,Republican,No,,,
"Brooks, James Kelly",,State,Superior Court Judge,Waycross,2024,Unspecified,No,13394.36,,
"Brooks, Tracy",,Jackson County,Chief Magistrate Judge,,2024,Non-Partisan,Yes,,,
"Brooks, Tyrone Leon, Jr.",The Committee to Elect Tyrone Brooks Jr,,Lieutenant Governor,,2022,Democrat,No,32120,15075.47,
"Broussard, Donald Joseph",Committe to Elect Don Broussard,DeKalb County,County Commissioner,2,2022,Democrat,No,,,
"Brown Charles, Marianna",,State,State Representative,120,2022,Democrat,Yes,,,
"Brown, Aaron O'Dell",,Emanuel County,County Commissioner,3,2024,Other,No,,,
